City,Locality,restaurants,avg_rating,avg_cost,total_votes,votes_per_restaurant,demand_z,quality_z,opportunity_score
Noida,Sector 27,26,2.9894736842105263,342.3076923076923,584,22.46153846153846,-0.42783796411121067,-0.9252908300803386,0.497
New Delhi,Karol Bagh,76,3.2416666666666667,509.86842105263156,7305,96.11842105263158,0.5925254090034008,0.09823175593340865,0.494
New Delhi,Kirti Nagar,56,3.0910714285714285,614.2857142857143,2264,40.42857142857143,-0.019419026578127913,-0.5129574454290865,0.494
Noida,Greater Noida,38,2.9499999999999997,468.42105263157896,603,15.868421052631579,-0.6648116492966994,-1.0854943652824913,0.421
New Delhi,Green Park,46,3.2941176470588234,677.6086956521739,5345,116.19565217391305,0.7274997141260151,0.3111035121856787,0.416
New Delhi,Paschim Vihar,56,3.148214285714286,429.4642857142857,2735,48.839285714285715,0.11334230633425305,-0.2810437563745421,0.394
Gurgaon,Sector 31,35,3.2,432.85714285714283,2271,64.88571428571429,0.3138267267200866,-0.070871975668862,0.385
New Delhi,"Epicuria Food Mall, Nehru Place",21,3.505,969.047619047619,7449,354.7142857142857,1.5249917391783692,1.1669673396597624,0.358
New Delhi,Jangpura,57,3.117142857142857,407.89473684210526,2154,37.78947368421053,-0.06669742878627842,-0.4071468247979513,0.34
Gurgaon,Sector 14,52,3.002222222222222,448.0769230769231,997,19.173076923076923,-0.5363076773753179,-0.8735510216743106,0.337
New Delhi,Mayur Vihar Phase 3,32,2.945,376.5625,423,13.21875,-0.7875522929589837,-1.1057868130747635,0.318
New Delhi,Pitampura,85,3.168831168831169,449.4117647058824,4049,47.63529411764706,0.09577749088345504,-0.1973703515167948,0.293
New Delhi,Jasola,21,3.15,607.1428571428571,896,42.666666666666664,0.018372645380122024,-0.27379645359158855,0.292
Gurgaon,DLF Phase 3,69,3.201449275362319,440.57971014492756,3937,57.05797101449275,0.22297917807759626,-0.06499010674356594,0.288
New Delhi,Sainik Farms,35,2.75,315.7142857142857,120,3.4285714285714284,-1.625412553175474,-1.8971922769733922,0.272
New Delhi,Hauz Khas,74,3.254385964912281,497.2972972972973,5511,74.47297297297297,0.4114069484333127,0.14985289505410235,0.262
New Delhi,Dilshad Garden,57,3.046875,406.140350877193,1240,21.75438596491228,-0.4498205086107588,-0.6923281893072095,0.243
New Delhi,"Moments Mall, Kirti Nagar",23,3.2347826086956526,567.3913043478261,1477,64.21739130434783,0.3065035450501545,0.07029287853825238,0.236
New Delhi,Ashok Vihar Phase 1,36,3.09,390.27777777777777,984,27.333333333333332,-0.29231572828739494,-0.5173058270988594,0.225
New Delhi,New Friends Colony,47,3.126470588235294,555.3191489361702,1577,33.5531914893617,-0.14976557026514997,-0.36929032555522373,0.22
New Delhi,Lajpat Nagar 2,22,3.2523809523809524,584.0909090909091,1527,69.4090909090909,0.3615209306599942,0.14171557263113538,0.22
New Delhi,Model Town 2,25,3.2560000000000002,498.0,1717,68.68,0.35404433459923756,0.15640343960459074,0.198
New Delhi,Alaknanda,32,3.1291666666666664,440.625,1037,32.40625,-0.17401242053007107,-0.35834831939272477,0.184
Noida,Sector 93,18,3.125,413.8888888888889,564,31.333333333333332,-0.19746012002532057,-0.37525869255295097,0.178
New Delhi,Vivek Vihar,36,3.1,359.72222222222223,966,26.833333333333332,-0.3051044005164799,-0.47672093151431333,0.172
New Delhi,Vikaspuri,60,3.067857142857143,404.1666666666667,1332,22.2,-0.43588996268517693,-0.6071723816074935,0.171
New Delhi,"Dilli Haat, INA",20,3.225,492.5,1106,55.3,0.20089393861285726,0.030590263292500388,0.17
Noida,Sector 15,29,3.0866666666666664,375.86206896551727,691,23.82758620689655,-0.3871884773843565,-0.5308341256270414,0.144
New Delhi,Jail Road,61,3.122,384.42622950819674,1756,28.78688524590164,-0.25638082264522255,-0.3874341612283149,0.131
New Delhi,Preet Vihar,49,3.1333333333333333,437.7551020408163,1502,30.653061224489797,-0.21273346000915255,-0.34143794623249685,0.129
New Delhi,Janakpuri,46,3.3152173913043477,598.9130434782609,4011,87.19565217391305,0.5233025028792659,0.3967366038921997,0.127
New Delhi,East Patel Nagar,50,3.229268292682927,501.0,2603,52.06,0.15832074251563893,0.04791308457858717,0.11
Noida,Sector 44,23,3.130769230769231,445.6521739130435,672,29.217391304347824,-0.2460739444011045,-0.35184432971571167,0.106
Gurgaon,Sector 45,31,3.1533333333333333,375.80645161290323,1021,32.935483870967744,-0.16272239539868746,-0.26026815506340656,0.098
New Delhi,East of Kailash,56,3.076923076923077,389.4642857142857,1159,20.696428571428573,-0.4840179102956704,-0.5703783828632633,0.086
New Delhi,Malviya Nagar,84,3.417857142857143,633.3333333333334,12088,143.9047619047619,0.8799412671634427,0.8132989638515853,0.067
Gurgaon,DLF Phase 1,27,3.3521739130434782,579.6296296296297,2658,98.44444444444444,0.6095256667657488,0.5467242614872582,0.063
Gurgaon,Sohna Road,42,3.261904761904762,666.6666666666666,2464,58.666666666666664,0.24261080037384214,0.1803678541402258,0.062
New Delhi,Chandni Chowk,67,3.358181818181818,263.43283582089555,6680,99.70149253731343,0.6185483031620616,0.5711072817593951,0.047
New Delhi,Rohini,48,3.3520833333333333,494.7916666666667,4514,94.04166666666667,0.5769993408693093,0.5463566446794272,0.031
New Delhi,Vijay Nagar,31,3.606451612903226,488.7096774193548,12271,395.83870967741933,1.6035728625384413,1.5787076513158735,0.025
New Delhi,Munirka,43,3.040909090909091,340.69767441860466,653,15.186046511627907,-0.6944720480630345,-0.7165407690593525,0.022
New Delhi,Connaught Place,122,3.779831932773109,1175.0,128109,1050.0737704918033,2.3032027786454177,2.282369869149298,0.021
Noida,Sector 41,45,3.15625,497.77777777777777,1322,29.377777777777776,-0.24227158310190783,-0.24843089385124753,0.006
New Delhi,Lajpat Nagar 1,42,3.126315789473684,344.04761904761904,1022,24.333333333333332,-0.37270391822999144,-0.3699185747128794,-0.003
Faridabad,Sector 37,20,3.0300000000000002,362.5,268,13.4,-0.7784540864266731,-0.7608152006061284,-0.018
New Delhi,Jama Masjid,26,3.561111111111111,319.2307692307692,7422,285.46153846153845,1.3694676049205656,1.3946936982174871,-0.025
New Delhi,Daryaganj,43,3.2875,383.72093023255815,2579,59.97674418604651,0.25821110535975245,0.28424586069590724,-0.026
New Delhi,SDA,15,3.223076923076923,523.3333333333334,609,40.6,-0.01645297371023622,0.022785475680087895,-0.039
Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",25,3.2181818181818183,502.0,973,38.92,-0.04606234834839397,0.002918743575765028,-0.049
Gurgaon,"Sushant Shopping Arcade, Sushant Lok, Gurgaon",18,3.1944444444444446,555.5555555555555,598,33.22222222222222,-0.1566787912498832,-0.09341913988249809,-0.063
New Delhi,Hauz Khas Village,24,3.845833333333333,1402.0833333333333,32573,1357.2083333333333,2.4873363537319593,2.550235864166341,-0.063
New Delhi,Defence Colony,86,3.49493670886076,741.2790697674419,15598,181.37209302325581,1.0451253769211573,1.126125577647469,-0.081
New Delhi,Satyaniketan,79,3.5269230769230773,537.9746835443038,16458,208.32911392405063,1.1441462311403359,1.2559419184412668,-0.112
New Delhi,Shalimar Bagh,67,3.1608695652173915,361.1940298507463,1698,25.34328358208955,-0.3446247758343748,-0.22968243665186452,-0.115
Faridabad,Suraj Kund,19,2.93,389.4736842105263,116,6.105263157894737,-1.285840293558534,-1.1666641564515796,-0.119
New Delhi,Lawrence Road,15,3.3111111111111113,386.6666666666667,903,60.2,0.26083615392978604,0.3800713086038615,-0.119
Gurgaon,Sector 56,54,3.04,403.14814814814815,650,12.037037037037036,-0.8498752785729784,-0.7202303050215841,-0.13
Noida,Sector 51,28,3.1454545454545455,467.85714285714283,629,22.464285714285715,-0.42775386152748246,-0.29224413340274485,-0.136
New Delhi,Kailash Colony,22,3.5,604.5454545454545,3790,172.27272727272728,1.0083622827186642,1.1466748918674903,-0.138
New Delhi,Uttam Nagar,59,2.9057142857142857,272.8813559322034,296,5.016949152542373,-1.405257947536768,-1.2652274742997613,-0.14
Noida,Sector 132,43,2.942857142857143,445.3488372093023,271,6.3023255813953485,-1.2661903081959878,-1.1144835764143073,-0.152
New Delhi,South Extension 2,41,3.3294117647058825,624.390243902439,2538,61.90243902439025,0.28054408904846234,0.4543443201311333,-0.174
New Delhi,Shakarpur,27,2.942857142857143,311.1111111111111,163,6.037037037037037,-1.2927706668390788,-1.1144835764143073,-0.178
New Delhi,Civil Lines,15,3.3,483.3333333333333,771,51.4,0.14933022961059436,0.33497698017658756,-0.186
New Delhi,Tagore Garden,36,3.2809523809523813,399.1666666666667,1648,45.77777777777778,0.0678068594472489,0.2576724171584085,-0.19
Noida,"Logix City Centre, Sector 32, Noida",30,3.0210526315789474,498.3333333333333,289,9.633333333333333,-0.996260781199435,-0.7971280019186169,-0.199
New Delhi,Greater Kailash (GK) 2,66,3.553030303030303,912.8787878787879,13894,210.5151515151515,1.151608360068839,1.3618978229976544,-0.21
Gurgaon,Old Railway Road,41,3.091666666666667,412.1951219512195,598,14.585365853658537,-0.7216352843036193,-0.5105416778347674,-0.211
New Delhi,Karkardooma,23,3.4826086956521736,717.3913043478261,3233,140.56521739130434,0.8631937502625278,1.076092464763932,-0.213
New Delhi,Janpath,39,3.5727272727272728,961.5384615384615,9134,234.2051282051282,1.2278617596910693,1.441837768846,-0.214
New Delhi,Shahdara,87,3.0,290.8045977011494,669,7.689655172413793,-1.1412527345880195,-0.8825698873597647,-0.259
New Delhi,GTB Nagar,38,3.361111111111111,440.7894736842105,2479,65.23684210526316,0.3176445157363283,0.5829957865265862,-0.265
New Delhi,Krishna Nagar,76,3.0913043478260867,359.86842105263156,1019,13.407894736842104,-0.7780604015083451,-0.5120121450660933,-0.266
New Delhi,Punjabi Bagh,60,3.393333333333333,707.5,4670,77.83333333333333,0.44269607759935403,0.7137693389656748,-0.271
Faridabad,Sector 16,17,3.033333333333333,379.4117647058824,156,9.176470588235293,-1.0278043027219277,-0.7472869020779481,-0.281
New Delhi,Netaji Subhash Place,48,3.529166666666667,600.0,7662,159.625,0.9539208556926985,1.2650475039890805,-0.311
New Delhi,Sarita Vihar,26,3.0,325.0,183,7.038461538461538,-1.197203398838308,-0.8825698873597647,-0.315
New Delhi,Naraina,54,3.0076923076923077,289.25925925925924,370,6.851851851851852,-1.2140745344881785,-0.8513507369101148,-0.363
Faridabad,Sector 15,31,3.429032258064516,485.48387096774195,2601,83.90322580645162,0.4959751962660628,0.8586530522352335,-0.363
New Delhi,Rajouri Garden,99,3.628571428571429,855.0505050505051,25692,259.5151515151515,1.3012719403207451,1.6684806922402147,-0.367
Allahabad,Civil Lines,18,3.3944444444444444,538.2352941176471,1200,66.66666666666667,0.33298467727358805,0.7182787718084028,-0.385
Gurgaon,"DLF Galleria, DLF Phase 4",17,3.5823529411764703,767.6470588235294,3208,188.7058823529412,1.0734440791872972,1.4809034437402133,-0.407
New Delhi,Khan Market,44,3.802325581395349,1257.9545454545455,28465,646.9318181818181,1.955712692723726,2.373660107214203,-0.418
Gurgaon,"Cyber Hub, DLF Cyber City",41,3.860975609756098,1321.9512195121952,36185,882.560975609756,2.178504487527272,2.611690634919363,-0.433
New Delhi,Vasant Vihar,36,3.2708333333333335,550.0,1064,29.555555555555557,-0.23808030576521227,0.216604368054999,-0.455
New Delhi,Anand Vihar,42,3.281481481481481,384.5238095238095,1314,31.285714285714285,-0.1985187467689147,0.25981976613113333,-0.458
New Delhi,Mahipalpur,69,2.96,436.95652173913044,289,4.188405797101449,-1.5116736256080434,-1.0449094696979453,-0.467
New Delhi,Kamla Nagar,65,3.454838709677419,456.15384615384613,5412,83.26153846153846,0.4905259268567581,0.9633882666469631,-0.473
New Delhi,Geeta Colony,34,3.08,322.05882352941177,309,9.088235294117647,-1.0340593040692654,-0.5578907226834036,-0.476
New Delhi,Mayapuri Phase 2,15,3.125,366.6666666666667,179,11.933333333333334,-0.8556117001734637,-0.37525869255295097,-0.48
Noida,Sector 72,61,3.0307692307692307,439.344262295082,402,6.590163934426229,-1.2384214466181995,-0.7576932855611648,-0.481
New Delhi,Prashant Vihar,17,3.066666666666667,447.05882352941177,127,7.470588235294118,-1.1595927466349893,-0.6120039167961299,-0.548
New Delhi,Gujranwala Town,39,3.275,403.84615384615387,1021,26.17948717948718,-0.32217916581171524,0.23351474121522514,-0.556
Gurgaon,Golf Course Road,27,3.559259259259259,990.7407407407408,3443,127.51851851851852,0.7937452319118364,1.387177976812941,-0.593
New Delhi,Palam,60,2.9,280.0,125,2.0833333333333335,-1.8854764883552066,-1.288418843205216,-0.597
New Delhi,Tilak Nagar,60,3.048148148148148,285.0,360,6.0,-1.2965610614689018,-0.6871611308415858,-0.609
